BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	8.2E-9	1E10	1E11	1E-30	1.61827684043523E-12	1E10	1E-30	1E10	2.64063814669461E-03	6.18081441918877E-07	1E10	8.99205163369276	2.14397282344419E-05	1E10	1.60788630579338E-02	1E-30	9.77809858816469E-11	0.567649127870873	1E-30	3.23668975302939E-11	2.63864344470411E-02	1E-30	8.55658082784372E-11	9.40275481615406E-03	1.80255371383669E-08	8.69715622829389E-11	0.696122940690471	7.58423135488595E-09	7.01546887560851E-11	0.838810043938557	3.56745755990931E-08	7.0064324436977E-12	0.161471226843334	8.43390887255595E-09	1.6359427042452E-11	0.296885082690016	2.92007519687234E-12	1.20616337200566E-09	864.996330019956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	8.2E-9	1E10	1E11	1E-30	1.61827684043523E-12	1E10	1E-30	1E10	2.64063814669461E-03	6.18081441918877E-07	1E10	8.99205163369276	2.14397282344419E-05	1E10	1.60788630579338E-02	1E-30	9.77809858816469E-11	0.567649127870873	1E-30	3.23668975302939E-11	2.63864344470411E-02	1E-30	8.55658082784372E-11	9.40275481615406E-03	1.80255371383669E-08	8.69715622829389E-11	0.696122940690471	7.58423135488595E-09	7.01546887560851E-11	0.838810043938557	3.56745755990931E-08	7.0064324436977E-12	0.161471226843334	8.43390887255595E-09	1.6359427042452E-11	0.296885082690016	2.92007519687234E-12	1.20616337200566E-09	864.996330019956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.00179857004351E-08	1E10	1E10	1E-30	1.29946958639205E-11	1E10	1E-30	1E10	2.75959535877953E-03	1.50887866538241E-06	1E10	1.92764402606087	1.03530875540126E-04	1E10	3.25244429221382E-03	1E-30	9.63532859986193E-11	0.575806327402322	1E-30	3.24320353226013E-11	2.20091867745297E-02	1E-30	6.89198230458808E-11	7.94685356507521E-03	2.07359653458538E-08	1.13356786935622E-10	0.858882778862142	8.85423679657016E-09	9.25526796875991E-11	0.956651537897708	3.38764909070476E-08	1.07588434215902E-11	0.226374687792198	1.12019776371769E-08	1.98030072291997E-11	0.363244026389396	6.01671959397626E-09	1.58949139897721E-11	0.142197120101021	2.77250757352106E-12	1.11457750643676E-09	1128.82221236095	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1.00179857004351E-08	1E10	1E10	1E-30	1.29946958639205E-11	1E10	1E-30	1E10	2.75959535877953E-03	1.50887866538241E-06	1E10	1.92764402606087	1.03530875540126E-04	1E10	3.25244429221382E-03	1E-30	9.63532859986193E-11	0.575806327402322	1E-30	3.24320353226013E-11	2.20091867745297E-02	1E-30	6.89198230458808E-11	7.94685356507521E-03	2.07359653458538E-08	1.13356786935622E-10	0.858882778862142	8.85423679657016E-09	9.25526796875991E-11	0.956651537897708	3.38764909070476E-08	1.07588434215902E-11	0.226374687792198	1.12019776371769E-08	1.98030072291997E-11	0.363244026389396	6.01671959397626E-09	1.58949139897721E-11	0.142197120101021	2.77250757352106E-12	1.11457750643676E-09	1128.82221236095	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.60268317558986E-08	1E10	1E10	1E-30	2.0463943575444E-10	1E10	1E-30	1E10	7.84906146555479E-03	1.36491822423734E-04	1E10	7.95310807725397	2.68445702403958E-03	1E10	0.705435951924601	2.46504611138241E-04	1E10	0.472951474229426	2.56151987314373E-04	1E10	0.413334693342004	2.59487496016152E-04	1E10	3.55000366199797E-02	1.08458500671286E-04	1E10	9.08010581368795E-03	1E-30	2.61853290465482E-10	1.70002185684477E-02	8.70010325219621E-08	3.33743429024357E-11	0.238332450045756	2.03049883270811E-08	5.02489426472496E-11	0.322532980605438	1.19794845346628E-10	1.3711083581464E-10	0.243709542758086	2.61953646503971E-12	1.05926065273612E-09	501.269977387698	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1.44077619281017E-08	1E10	1E10	1E-30	1.26222454446447E-23	1E10	1E-30	1E10	2.81648124261173E-03	1.70588162497196E-04	1E10	31.0120956112074	2.31550444758964E-04	1E10	5.95271091011719	1.97957374812499E-04	1E10	1.04533782926201	1.74054515844075E-04	1E10	0.139876695026935	1.21689880279309E-04	1E10	2.60087585744325E-02	9.21398321232179E-05	1E10	4.45715550216399E-03	1E-30	2.97927959723943E-10	1.40157672301644E-02	1E-30	3.15690065274894E-11	4.43217476020691E-03	1.43245847218286E-09	2.85360839720922E-09	6.13861115386398E-03	6.11125215328782E-08	4.72725989131592E-11	0.319489560410801	1.67288961407471E-08	6.08088834847022E-11	0.421207442666532	2.66917229929139E-10	1.41085182905738E-10	0.204159535667221	2.31009342391707E-12	1.42698565263731E-09	1633.91853077785	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1.65335289142961E-08	1E10	625E7	1E-30	8.23037123080291E-12	1E10	1E-30	1E10	2.26633279806461E-03	2.88895826849205E-06	1E10	1.78270245767224	2.24254552597757E-05	1E10	5.26112794148316E-02	1E-30	1.0967034478927E-10	0.642907960373485	1E-30	5.94727523914808E-11	3.99868167236156E-02	1E-30	8.79666469296901E-11	6.48510231236007E-03	3.32757778151662E-08	2.05160203772451E-10	1.56668776909913	2.35574466263501E-08	7.62242433102203E-11	0.668316914654647	3.32757778151662E-08	3.40481188107982E-11	0.384576243490232	2.19584899511677E-08	2.5086401498266E-11	0.388817620389882	2.86328894123187E-08	1.54497522411922E-11	0.242947944419409	2.09289152385923E-08	1.15115678334379E-11	0.205788111823451	1.82417921352072E-08	7.73858359812061E-12	0.142470697835927	2.91777675588521E-12	1.13031573997381E-09	1045.72197421145	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	1.71328422757266E-08	1E10	1E10	1E-30	3.92011129544202E-10	1E10	1E-30	1E10	7.37797231845227E-03	2.02862847403103E-04	1E10	15.1878544121977	1.45219895007052E-04	1E10	0.981090107016586	3.00231840551671E-04	1E10	4.89798467091881E-02	1.60354749495633E-04	1E10	8.67918963192664E-03	1E-30	9.7988414824939E-11	0.29561756023475	1E-30	1.67889724442198E-10	1.43247351260406E-02	1E-30	3.31126895471331E-11	2.82163033166182E-03	7.04795779944009E-08	5.63353859939981E-11	0.356902827050469	1.96037237826875E-08	7.39333017499949E-11	0.408589549961471	9.10977383199351E-09	4.48304801655325E-11	0.112750193666468	3.10248050640889E-11	9.44481366675275E-11	6.95382275261965	3.45134175772792E-12	7.94582579023269E-10	2074.36641330615	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	1.76033769342653E-08	1E10	1E10	1E-30	8.33526715899093E-24	1E10	1E-30	1E10	7.32515749315846E-03	5.06806966391798E-05	1E10	290.171055573856	2.36081815988709E-04	1E10	5.22640749217124	2.32245532500443E-04	1E10	0.961875251820069	3.31142764821771E-04	1E10	7.47470843500004E-02	1.65849975069317E-04	1E10	1.38540524575998E-02	1E-30	1.69481745614236E-10	1.70167027456956E-02	1E-30	1.16515014807533E-10	2.89073061544194E-03	5.91874374178689E-08	6.56971702588621E-11	0.357326753277452	1.84881705342317E-08	7.62135928188377E-11	0.428186867145968	2.29975665288124E-08	1.83108148621101E-11	0.08578955922956	3.55034194354447E-10	1.18378170313117E-10	0.23246743364675	2.33384822249927E-12	1.3814964203112E-09	1748.6526541291	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
